"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 01:57:22 BDT 2023","Wed Mar 29 01:57:28 BDT 2023","6129","Orange HRM automation","Nopcommerce registration feature Test","testrunner.RegistrationTestRunner","testrunner.RegistrationTestRunner","doUserRegistration","User should be able to registration new account successfully",""
"passed","Wed Mar 29 01:57:36 BDT 2023","Wed Mar 29 01:58:06 BDT 2023","30887","Orange HRM automation","Nopcommerce place order feature Test","testrunner.OrderTestRunner","testrunner.OrderTestRunner","placeOrder","User should be able to successfully place order as a guest user",""
